Refactoring Type	Source Method	Target Class
Move Method	org.gjt.sp.jedit.GUIUtilities::loadGeometry(java.awt.Window, java.lang.String):void 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.GUIUtilities::adjustForScreenBounds(java.awt.Rectangle):void 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.GUIUtilities::setExtendedState(java.awt.Frame, int):void 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.GUIUtilities::createMultilineLabel(java.lang.String):javax.swing.JComponent 	 org.gjt.sp.jedit.gui.VariableGridLayout
Move Method	org.gjt.sp.jedit.GUIUtilities::isMiddleButton(int):boolean 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.GUIUtilities::isRightButton(int):boolean 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.GUIUtilities::getComponentParent(java.awt.Component, java.lang.Class):java.awt.Component 	 org.gjt.sp.jedit.gui.FloatingWindowContainer
Move Method	org.gjt.sp.jedit.io.FavoritesVFS::addToFavorites(java.lang.String, int):void 	 org.gjt.sp.jedit.io.VFSManager
Move Method	org.gjt.sp.jedit.io.FileRootsVFS::listRoots():java.io.File[] 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.io.FileVFS::getPermissions(java.lang.String):int 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.io.FileVFS::setPermissions(java.lang.String, int):void 	 org.gjt.sp.jedit.OperatingSystem
Move Method	org.gjt.sp.jedit.io.VFS::_listDirectory(java.lang.Object, java.lang.String, java.lang.String, boolean, java.awt.Component):java.lang.String[] 	 gnu.regexp.RE
Move Method	org.gjt.sp.jedit.io.VFS::loadColors():void 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.io.VFSManager::getVFSByName(java.lang.String):org.gjt.sp.jedit.io.VFS 	 org.gjt.sp.jedit.ServiceManager
Move Method	org.gjt.sp.jedit.io.VFSManager::getVFSForProtocol(java.lang.String):org.gjt.sp.jedit.io.VFS 	 org.gjt.sp.jedit.ServiceManager
Move Method	org.gjt.sp.jedit.io.VFSManager::getVFSForPath(java.lang.String):org.gjt.sp.jedit.io.VFS 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.io.VFSManager::registerVFS(java.lang.String, org.gjt.sp.jedit.io.VFS):void 	 org.gjt.sp.jedit.io.VFS
Move Method	org.gjt.sp.jedit.io.VFSManager::getVFSs():java.lang.String[] 	 org.gjt.sp.jedit.ServiceManager
Move Method	org.gjt.sp.jedit.io.VFSManager::sendVFSUpdate(org.gjt.sp.jedit.io.VFS, java.lang.String, boolean):void 	 org.gjt.sp.jedit.msg.VFSUpdate
Move Method	org.gjt.sp.jedit.jEdit::getVersion():java.lang.String 	 org.gjt.sp.jedit.MiscUtilities
Move Method	org.gjt.sp.jedit.jEdit::getColorProperty(java.lang.String, java.awt.Color):java.awt.Color 	 org.gjt.sp.jedit.GUIUtilities
Move Method	org.gjt.sp.jedit.jEdit::setColorProperty(java.lang.String, java.awt.Color):void 	 org.gjt.sp.jedit.GUIUtilities
